"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Joe Courtney",1993,1997,5,1969-10-17,"F",80,235,"University of Southern Mississippi"
"Marcus Cousin",2011,2011,1,1986-12-18,"C",83,245,"University of Houston"
"DeMarcus Cousins",2011,2018,8,1990-08-13,"C-F",83,270,"University of Kentucky"
"Bob Cousy",1951,1970,20,1928-08-09,"G",73,175,"College of the Holy Cross"
"Robert Covington",2014,2018,5,1990-12-14,"F",81,215,"Tennessee State University"
"Dave Cowens",1971,1983,13,1948-10-25,"C-F",81,230,"Florida State University"
"Chubby Cox",1983,1983,1,1955-12-29,"G",74,180,"University of San Francisco"
"Johnny Cox",1963,1963,1,1936-11-01,"G",76,180,"University of Kentucky"
"Wesley Cox",1978,1979,2,1955-01-27,"F",78,215,"University of Louisville"
"Allen Crabbe",2014,2018,5,1992-04-09,"G-F",78,210,"University of California"
"Torrey Craig",2018,2018,1,1990-12-19,"G-F",78,215,"University of South Carolina Upstate"
"Chris Crawford",1998,2004,7,1975-05-13,"F",81,235,"Marquette University"
"Freddie Crawford",1967,1971,5,1941-12-23,"G-F",76,189,"St. Bonaventure University"
"Jamal Crawford",2001,2018,18,1980-03-20,"G",77,200,"University of Michigan"
"Joe Crawford",2009,2009,1,1986-06-17,"F",77,210,"University of Kentucky"
"Jordan Crawford",2011,2018,8,1988-10-23,"G",76,195,"Xavier University"
"Jim Creighton",1976,1976,1,1950-04-18,"F",80,200,"University of Colorado"
"Ron Crevier",1986,1986,1,1958-04-14,"C",84,235,"Boston College"
"Hal Crisler",1947,1947,1,1923-12-31,"F",75,215,"Iowa State University"
"Joe Crispin",2002,2002,1,1979-07-18,"G",72,185,"Pennsylvania State University"
"Charlie Criss",1978,1985,8,1948-11-06,"G",68,165,"New Mexico State University"
"Russell Critchfield",1969,1969,1,1946-06-27,"G",70,150,"University of California"
"Winston Crite",1988,1989,2,1965-06-20,"F",79,233,"Texas A&M University"
"Javaris Crittenton",2008,2009,2,1987-12-31,"G",77,200,"Georgia Institute of Technology"
"Dillard Crocker",1949,1953,5,1925-01-19,"F-G",76,205,"Western Michigan University"
"Bobby Croft",1971,1971,1,1946-03-17,"C",82,200,"University of Tennessee"
"Geoff Crompton",1979,1984,6,1955-07-04,"C",83,280,"University of North Carolina"
"Terry Crosby",1980,1980,1,1957-01-04,"G",76,195,"University of Tennessee"
"Austin Croshere",1998,2009,12,1975-05-01,"F",81,235,"Providence College"
"Jeff Cross",1986,1986,1,1961-09-01,"F",82,240,"University of Maine"
"Pete Cross",1971,1973,3,1948-03-28,"C-F",81,230,"University of San Francisco"
"Russell Cross",1984,1984,1,1961-09-05,"C",82,215,"Purdue University"
"Chink Crossin",1948,1950,3,1923-07-04,"G",73,165,"University of Pennsylvania"
"John Crotty",1993,2003,11,1969-07-15,"G",73,185,"University of Virginia"
"Bill Crow",1968,1968,1,1940-12-09,"G",73,180,"Westminster College of Utah"
"Mark Crow",1978,1978,1,1954-10-22,"F",79,210,"Duke University"
"Corey Crowder",1992,1995,4,1969-04-13,"G-F",77,214,"Kentucky Wesleyan College"
"Jae Crowder",2013,2018,6,1990-07-06,"F",78,235,"Marquette University"
"Al Cueto",1970,1971,2,1946-08-02,"C-F",79,230,"University of Tulsa"
"Pat Cummings",1980,1991,12,1956-07-11,"F-C",81,230,"University of Cincinnati"
"Terry Cummings",1983,2000,18,1961-03-15,"F",81,220,"DePaul University"
"Vonteego Cummings",2000,2002,3,1976-02-29,"G",75,185,"University of Pittsburgh"
"Billy Cunningham",1966,1976,11,1943-06-03,"F-C",78,210,"University of North Carolina"
"Dante Cunningham",2010,2018,9,1987-04-22,"F",80,230,"Villanova University"
"Dick Cunningham",1969,1975,7,1946-07-11,"C",82,245,"Murray State University"
"Jared Cunningham",2013,2016,4,1991-05-22,"G",76,195,"Oregon State University"
"William Cunningham",1998,1999,2,1974-03-25,"C",83,250,"Temple University"
"Radisav Curcic",1993,1993,1,1965-09-26,"C",82,275,"No College"
"Armand Cure",1947,1947,1,1919-08-01,"F",72,198,"University of Rhode Island"
"Earl Cureton",1981,1997,17,1957-09-03,"F-C",81,210,"University of Detroit Mercy"
"Bill Curley",1995,2001,7,1972-05-29,"F",81,220,"Boston College"
"Fran Curran",1949,1950,2,1922-09-09,"G",72,175,"University of Notre Dame"
"Dell Curry",1987,2002,16,1964-06-25,"G",76,190,"Virginia Polytechnic Institute and State University"
"Eddy Curry",2002,2013,12,1982-12-05,"C",84,295,"No College"
"JamesOn Curry",2010,2010,1,1986-01-07,"G",75,190,"Oklahoma State University"
"Michael Curry",1994,2005,12,1968-08-22,"F-G",77,210,"Georgia Southern University"
"Seth Curry",2014,2017,4,1990-08-23,"G",74,185,"Duke University"
"Stephen Curry",2010,2018,9,1988-03-14,"G",75,190,"Davidson College"
"Rastko Cvetkovic",1996,1996,1,1970-06-22,"C",85,260,"No College"
"Mike D'Antoni",1974,1977,4,1951-05-08,"G",75,185,"Marshall University"
"Mike Dabich",1968,1968,1,1942-12-27,"C",84,242,"New Mexico State University"
"Ed Dahler",1952,1952,1,1926-01-31,"F",77,190,"Duquesne University"
"Quintin Dailey",1983,1992,10,1961-01-22,"G",75,180,"University of San Francisco"
"Samuel Dalembert",2002,2015,14,1981-05-10,"C",83,255,"Seton Hall University"
"Howie Dallmar",1947,1949,3,1922-05-24,"F",76,200,"Stanford University"
"Erick Dampier",1997,2012,16,1975-07-14,"C",83,265,"Mississippi State University"
"Louie Dampier",1968,1979,12,1944-11-20,"G",72,170,"University of Kentucky"
"Bob Dandridge",1970,1982,13,1947-11-15,"F-G",78,195,"Norfolk State University"
"Antonio Daniels",1998,2011,14,1975-03-19,"G",76,195,"Bowling Green State University"
"Erik Daniels",2005,2005,1,1982-04-01,"F",80,214,"University of Kentucky"
"Lloyd Daniels",1993,1998,6,1967-09-04,"G",79,205,"Mount San Antonio College"
"Marquis Daniels",2004,2013,10,1981-01-07,"G-F",78,200,"Auburn University"
"Mel Daniels",1968,1977,10,1944-07-20,"C",81,220,"University of New Mexico"
"Troy Daniels",2014,2018,5,1991-07-15,"G",76,205,"Virginia Commonwealth University"
"Sasha Danilovic",1996,1997,2,1970-02-26,"G",77,200,"No College"
"Adrian Dantley",1977,1991,15,1956-02-28,"F-G",77,208,"University of Notre Dame"
"Pete Darcey",1953,1953,1,1930-03-03,"C",79,217,"Oklahoma State University"
"Jimmy Darden",1950,1950,1,1922-06-19,"G",73,170,"University of Denver"
"Ollie Darden",1968,1970,3,1944-07-28,"F-C",79,235,"University of Michigan"
"Yinka Dare",1995,1998,4,1972-10-10,"C",84,265,"George Washington University"
"Jesse Dark",1975,1975,1,1951-09-02,"G",77,210,"Virginia Commonwealth University"
"Rick Darnell",1976,1976,1,1953-01-01,"C-F",82,215,"San Jose State University"
"Jimmy Darrow",1962,1962,1,1937-09-25,"G",70,170,"Bowling Green State University"
"Luigi Datome",2014,2015,2,1987-11-27,"F",80,215,"No College"
"Brad Daugherty",1987,1994,8,1965-10-19,"C",84,245,"University of North Carolina"
"Mack Daughtry",1971,1971,1,,"G",75,175,"Albany State University"
"Kornel David",1999,2001,3,1971-10-22,"F",81,235,"No College"
"Jermareo Davidson",2008,2009,2,1984-11-15,"F",82,230,"University of Alabama"
"Bob Davies",1949,1955,7,1920-01-15,"G-F",73,175,"Seton Hall University"
"Brandon Davies",2014,2015,2,1991-07-25,"F",82,240,"Brigham Young University"
"Anthony Davis",2013,2018,6,1993-03-11,"F-C",82,253,"University of Kentucky"
"Antonio Davis",1994,2006,13,1968-10-31,"F-C",81,215,"University of Texas at El Paso"
"Aubrey Davis",1947,1947,1,1921-03-28,"G-F",74,175,"Oklahoma Baptist University"
"Baron Davis",2000,2012,13,1979-04-13,"G",75,209,"University of California, Los Angeles"
"Ben Davis",1997,2000,4,1972-12-26,"F",81,240,"University of Arizona"
"Bill Davis",1947,1947,1,1920-10-03,"F",75,215,"University of Notre Dame"
"Bob Davis",1973,1973,1,1950-04-02,"F",79,215,"Weber State University"
"Brad Davis",1978,1992,15,1955-12-17,"G",75,180,"University of Maryland"
"Brian Davis",1994,1994,1,1970-06-21,"F-G",79,200,"Duke University"
"Charles Davis",1982,1990,9,1958-10-05,"F",79,215,"Vanderbilt University"
"Charlie Davis",1972,1974,3,1949-09-07,"G",74,160,"Wake Forest University"
"Dale Davis",1992,2007,16,1969-03-25,"F-C",83,230,"Clemson University"
"Deyonta Davis",2017,2018,2,1996-12-02,"F-C",83,237,"Michigan State University"
"Dwight Davis",1973,1977,5,1949-10-28,"F",80,220,"University of Houston"
"Ed Davis",2011,2018,8,1989-06-05,"F",82,240,"University of North Carolina"
"Emanual Davis",1997,2003,7,1968-08-27,"G",76,195,"Delaware State University"
"Glen Davis",2008,2015,8,1986-01-01,"F-C",81,289,"Louisiana State University"
"Harry Davis",1979,1980,2,1956-01-27,"F",79,220,"Florida State University"
"Hubert Davis",1993,2004,12,1970-05-17,"G",77,183,"University of North Carolina"
"Jim Davis",1968,1975,8,1941-12-18,"C-F",81,225,"University of Colorado"
"Johnny Davis",1977,1986,10,1955-10-21,"G",74,170,"University of Dayton"
"Josh Davis",2004,2012,9,1980-08-10,"F",80,235,"University of Wyoming"
"Lee Davis",1969,1976,8,1945-10-11,"C-F",80,235,"North Carolina Central University"
"Mark Davis",1989,1989,1,1963-06-08,"F-G",78,195,"Old Dominion University"
"Mark Davis",1996,2000,5,1973-04-26,"G-F",79,210,"Texas Tech University"
"Mel Davis",1974,1977,4,1950-11-09,"F",78,220,"St. John's University"
"Mickey Davis",1972,1977,6,1950-06-16,"F-G",79,195,"Duquesne University"
"Mike Davis",1970,1973,4,1946-07-26,"G",75,185,"Virginia Union University"
"Mike Davis",1983,1983,1,1956-08-02,"F",82,230,"University of Maryland"
"Monti Davis",1981,1981,1,1958-07-26,"F",79,205,"Tennessee State University"
"Paul Davis",2007,2010,4,1984-07-21,"C",83,270,"Michigan State University"
"Ralph Davis",1961,1962,2,1938-09-07,"G",76,180,"University of Cincinnati"
"Red Davis",1956,1956,1,1932-04-22,"C",79,220,"St. John's University"
"Ricky Davis",1999,2010,12,1979-09-23,"G",78,195,"University of Iowa"
"Ron Davis",1977,1982,6,1954-05-01,"G-F",78,198,"Washington State University"
"Terry Davis",1990,2001,12,1967-06-17,"F-C",81,225,"Virginia Union University"
"Walt Davis",1954,1958,5,1931-01-05,"C-F",80,205,"Texas A&M University"
"Walter Davis",1978,1992,15,1954-09-09,"G-F",78,193,"University of North Carolina"
"Warren Davis",1968,1973,6,1943-06-30,"F-C",78,212,"North Carolina Agricultural and Technical State University"
"Willie Davis",1971,1971,1,1945-08-09,"C",80,234,"University of North Texas"
"Andre Dawkins",2015,2015,1,1991-09-19,"G",77,215,"Duke University"
"Darryl Dawkins",1976,1989,14,1957-01-11,"C",83,251,"No College"
"Johnny Dawkins",1987,1995,9,1963-09-28,"G",74,165,"Duke University"
"Paul Dawkins",1980,1980,1,1957-06-10,"F",77,190,"Northern Illinois University"
"Branden Dawson",2016,2016,1,1993-02-01,"F",78,225,"Michigan State University"
"Eric Dawson",2012,2012,1,1984-07-07,"F",81,250,"Midwestern State University"
"Jimmy Dawson",1968,1968,1,1945-04-18,"G",72,175,"University of Illinois at Urbana-Champaign"
"Tony Dawson",1991,1995,5,1967-08-25,"F",79,215,"Florida State University"
"Todd Day",1993,2001,9,1970-01-07,"G-F",78,188,"University of Arkansas"
"Austin Daye",2010,2015,6,1988-06-05,"F",83,220,"Gonzaga University"
"Darren Daye",1984,1988,5,1960-11-30,"F-G",80,220,"University of California, Los Angeles"
"Nando De Colo",2013,2014,2,1987-06-23,"G",77,200,"No College"
"Greg Deane",1980,1980,1,1957-12-06,"G",76,190,"University of Utah"
"Billy DeAngelis",1971,1971,1,1946-10-05,"G",73,180,"Saint Joseph's University"
"Dave DeBusschere",1963,1974,12,1940-10-16,"F-G",78,220,"University of Detroit Mercy"
"Andrew DeClercq",1996,2005,10,1973-02-01,"F-C",82,230,"University of Florida"
"Dewayne Dedmon",2014,2018,5,1989-08-12,"C",84,245,"University of Southern California"
"Don Dee",1969,1969,1,1943-08-09,"F",80,210,"Saint Mary of the Plains College"
"Archie Dees",1959,1962,4,1936-02-22,"F-C",80,205,"Indiana University"
"Terry Dehere",1994,1999,6,1971-09-12,"G",74,190,"Seton Hall University"
"Red Dehnert",1947,1947,1,1924-01-24,"F",75,175,"Columbia University"
"Bryce Dejean-Jones",2016,2016,1,1992-08-21,"G",78,209,"Iowa State University"
"Sam Dekker",2016,2018,3,1994-05-06,"F",81,230,"University of Wisconsin"
"Vinny Del Negro",1989,2002,14,1966-08-09,"G",76,185,"North Carolina State University"
"Malcolm Delaney",2017,2018,2,1989-03-11,"G",75,190,"Virginia Polytechnic Institute and State University"
"Bison Dele",1992,1999,8,1969-04-06,"F-C",81,235,"University of Arizona"
"Carlos Delfino",2005,2013,9,1982-08-29,"G",78,230,"No College"
"Tony Delk",1997,2006,10,1974-01-28,"G",73,189,"University of Kentucky"
"Matthew Dellavedova",2014,2018,5,1990-09-08,"G",76,198,"Saint Mary's College of California"
"Nate DeLong",1952,1952,1,1926-01-05,"C",78,220,"University of Wisconsin-River Falls"
"Fennis Dembo",1989,1989,1,1966-01-24,"F",77,215,"University of Wyoming"
"Larry Demic",1980,1982,3,1957-06-27,"F-C",81,225,"University of Arizona"
"Dell Demps",1994,1997,4,1970-02-12,"G",75,205,"University of the Pacific"
"George Dempsey",1955,1959,5,1929-07-19,"G",74,190,"King's College"
"Luol Deng",2005,2018,14,1985-04-16,"F",81,220,"Duke University"
"Kenny Dennard",1982,1984,3,1958-10-18,"F",80,220,"Duke University"
"Blaine Denning",1953,1953,1,1930-09-19,"G",74,175,"Lawrence Technological University"
"Justin Dentmon",2012,2013,2,1985-09-05,"G",71,185,"University of Washington"
"Randy Denton",1972,1977,6,1949-02-18,"C",82,240,"Duke University"
"Joe DePre",1971,1973,3,1947-12-19,"G",75,185,"St. John's University"
"Rod Derline",1975,1976,2,1952-03-11,"G",72,175,"Seattle University"
"DeMar DeRozan",2010,2018,9,1989-08-07,"G-F",79,221,"University of Southern California"
"Dave Deutsch",1967,1967,1,1945-05-13,"G",73,170,"University of Rochester"
"Corky Devlin",1956,1958,3,1931-12-21,"G",77,195,"George Washington University"
"Hank DeZonie",1951,1951,1,1922-02-12,"C-F",78,215,"Clark Atlanta University"
"Derrick Dial",2000,2004,5,1975-12-20,"G",76,184,"Eastern Michigan University"
"Cheick Diallo",2017,2018,2,1996-09-13,"F",81,220,"University of Kansas"
"Boris Diaw",2004,2017,14,1982-04-16,"F-C",80,250,"No College"
"Yakhouba Diawara",2007,2010,4,1982-08-29,"G-F",79,225,"Pepperdine University"
"Guillermo Diaz",2008,2008,1,1985-03-04,"G",74,192,"University of Miami"
"Dan Dickau",2003,2008,6,1978-09-16,"G",72,190,"Gonzaga University"
"Kaniel Dickens",2004,2008,5,1978-07-21,"F",80,215,"University of Idaho"
"Henry Dickerson",1976,1977,2,1951-11-27,"G",76,190,"University of Charleston"
"Michael Dickerson",1999,2003,5,1975-06-25,"G-F",77,190,"University of Arizona"
"Clyde Dickey",1975,1975,1,1951-12-14,"G",75,185,"Boise State University"
"Derrek Dickey",1974,1978,5,1951-03-20,"F",79,218,"University of Cincinnati"
"Dick Dickey",1952,1952,1,1926-10-26,"G",73,175,"North Carolina State University"
"John Dickson",1968,1968,1,1945-11-18,"C",82,240,"Arkansas State University"
"Travis Diener",2006,2010,5,1982-03-01,"G",73,175,"Marquette University"
"Gorgui Dieng",2014,2018,5,1990-01-18,"C",83,241,"University of Louisville"
"Connie Dierking",1959,1971,13,1936-10-02,"C-F",81,222,"University of Cincinnati"
"Coby Dietrick",1971,1983,13,1948-07-23,"C-F",82,220,"San Jose State University"
"Ernie DiGregorio",1974,1978,5,1951-01-15,"G",72,180,"Providence College"
"Craig Dill",1968,1968,1,1944-12-17,"C",83,215,"University of Michigan"
"Dwaine Dillard",1976,1976,1,1949-03-09,"F",78,230,"Eastern Michigan University"
"Mickey Dillard",1982,1982,1,1958-10-15,"G",75,170,"Florida State University"
"Bob Dille",1947,1947,1,1917-07-02,"F",75,190,"Valparaiso University"
"Hook Dillon",1950,1950,1,1924-01-08,"F",75,180,"University of North Carolina"
"Byron Dinkins",1990,1991,2,1967-06-15,"G",73,170,"University of North Carolina at Charlotte"
"Jackie Dinkins",1972,1972,1,1950-01-22,"F",77,210,"Voorhees College"
"Harry Dinnel",1968,1968,1,,"F-G",76,200,"Pepperdine University"
"Bill Dinwiddie",1968,1972,5,1943-07-15,"F",79,220,"New Mexico Highlands University"
"Spencer Dinwiddie",2015,2018,4,1993-04-06,"G",78,200,"University of Colorado"
"Ike Diogu",2006,2012,7,1983-09-11,"F",80,250,"Arizona State University"
"DeSagana Diop",2002,2013,12,1982-01-30,"C",84,300,"No College"
"Terry Dischinger",1963,1973,11,1940-11-21,"F-G",79,189,"Purdue University"
"Fred Diute",1955,1955,1,1929-01-09,"G",75,210,"St. Bonaventure University"
"Vlade Divac",1990,2005,16,1968-02-03,"C",85,243,"No College"
"Juan Dixon",2003,2009,7,1978-10-09,"G",75,164,"University of Maryland"
"Aleksandar Djordjevic",1997,1997,1,1967-08-26,"G",74,198,"No College"
"Earl Dodd",1950,1950,1,1924-11-01,"F",77,175,"Truman State University"
"Michael Doleac",1999,2008,10,1977-06-15,"C",83,262,"University of Utah"
"Joe Dolhon",1950,1951,2,1927-07-09,"G",72,175,"New York University"
"Bob Doll",1947,1950,4,1919-08-10,"F-C",77,195,"University of Colorado"
"James Donaldson",1981,1995,15,1957-08-16,"C",86,275,"Washington State University"
"Bob Donham",1951,1954,4,1926-10-11,"G-F",74,190,"Ohio State University"
"Billy Donovan",1988,1988,1,1965-05-30,"G",71,171,"Providence College"
"Harry Donovan",1950,1950,1,1926-09-10,"G",74,180,"Muhlenberg College"
"Keyon Dooling",2001,2013,13,1980-05-08,"G",75,196,"University of Missouri"
"Jacky Dorsey",1978,1981,4,1954-12-18,"F",79,230,"University of Georgia"
"Joey Dorsey",2009,2015,7,1983-12-16,"F",80,268,"University of Memphis"
"Ron Dorsey",1972,1972,1,1948-10-10,"F",76,200,"Tennessee State University"
"Tyler Dorsey",2018,2018,1,1996-02-14,"G",77,183,"University of Oregon"
"Damyean Dotson",2018,2018,1,1994-05-06,"G",78,205,"University of Houston"
"Quincy Douby",2007,2009,3,1984-05-16,"G",75,175,"Rutgers University"
"Bruce Douglas",1987,1987,1,1964-04-09,"G",75,195,"University of Illinois at Urbana-Champaign"
"John Douglas",1982,1983,2,1956-06-12,"G",74,170,"University of Kansas"
"Leon Douglas",1977,1983,7,1954-08-26,"C-F",82,230,"University of Alabama"
"Sherman Douglas",1990,2001,12,1966-09-15,"G",72,180,"Syracuse University"
"Toney Douglas",2010,2017,8,1986-03-16,"G",74,195,"Florida State University"
"Chris Douglas-Roberts",2009,2015,7,1987-01-08,"G",79,200,"University of Memphis"
"Sonny Dove",1968,1972,5,1945-08-16,"F",79,198,"St. John's University"
"Jerry Dover",1972,1972,1,1949-10-16,"G",67,155,"LeMoyne-Owen College"
"Zabian Dowdell",2011,2011,1,1984-09-10,"G",75,191,"Virginia Polytechnic Institute and State University"
"Bill Downey",1948,1948,1,1923-11-11,"C",78,210,"Marquette University"
"Steve Downing",1974,1975,2,1950-09-09,"C",80,225,"Indiana University"
"Danny Doyle",1963,1963,1,1940-02-06,"F",80,200,"Belmont Abbey College"
"Terry Dozier",1990,1990,1,1966-06-29,"F",81,210,"University of South Carolina"
"Goran Dragic",2009,2018,10,1986-05-06,"G",75,190,"No College"
"Zoran Dragic",2015,2015,1,1989-06-22,"G-F",77,200,"No College"
"Greg Dreiling",1987,1997,11,1962-11-07,"C",85,250,"University of Kansas"
"Bryce Drew",1999,2004,6,1974-09-21,"G",74,185,"Valparaiso University"
"John Drew",1975,1985,11,1954-09-30,"F-G",78,205,"Gardner-Webb University"
"Larry Drew",1981,1991,11,1958-04-02,"G",73,170,"University of Missouri"
"Larry Drew",2015,2015,1,1990-03-05,"G",74,180,"University of California, Los Angeles"
"Clyde Drexler",1984,1998,15,1962-06-22,"G",79,210,"University of Houston"
"Nate Driggers",1997,1997,1,1973-10-12,"G",77,215,"University of Montevallo"
"Terry Driscoll",1971,1975,5,1947-08-28,"F",79,215,"Boston College"
"Predrag Drobnjak",2002,2005,4,1975-10-27,"C",83,270,"No College"
"Ralph Drollinger",1981,1981,1,1954-04-20,"C",86,250,"University of California, Los Angeles"
"Andre Drummond",2013,2018,6,1993-08-10,"C",83,279,"University of Connecticut"
"Dick Duckett",1958,1958,1,1933-03-25,"G",73,185,"St. John's University"
"Kevin Duckworth",1987,1997,11,1964-04-01,"C",84,275,"Eastern Illinois University"
"Charles Dudley",1973,1979,7,1950-03-05,"G",74,180,"University of Washington"
"Chris Dudley",1988,2003,16,1965-02-22,"C",83,235,"Yale University"
"Jared Dudley",2008,2018,11,1985-07-10,"F-G",79,225,"Boston College"
"Terry Duerod",1980,1983,4,1956-07-29,"G",74,180,"University of Detroit Mercy"
"Bob Duffy",1947,1947,1,1922-07-05,"F",76,175,"Tulane University"
"Bob Duffy",1963,1965,3,1940-09-26,"G",75,185,"Colgate University"
"Chris Duhon",2005,2013,9,1982-08-31,"G",73,185,"Duke University"
"Duje Dukan",2016,2016,1,1991-12-04,"F",81,220,"University of Wisconsin"
"Walter Dukes",1956,1963,8,1930-06-23,"C",84,220,"Seton Hall University"
"Joe Dumars",1986,1999,14,1963-05-24,"G",75,190,"McNeese State University"
"Rich Dumas",1969,1969,1,,"G",75,170,"Northeastern State University"
"Richard Dumas",1993,1996,4,1969-05-19,"F",79,200,"Oklahoma State University"
"Tony Dumas",1995,1998,4,1972-08-25,"G",78,190,"University of Missouri-Kansas City"
"Andy Duncan",1949,1951,3,1922-04-17,"F-C",78,195,"College of William & Mary"
"Tim Duncan",1998,2016,19,1976-04-25,"F-C",83,250,"Wake Forest University"
"Mike Dunleavy",1977,1990,14,1954-03-21,"G",75,180,"University of South Carolina"
"Mike Dunleavy",2003,2017,15,1980-09-15,"F-G",81,230,"Duke University"
"Kris Dunn",2017,2018,2,1994-03-18,"G",76,210,"Providence College"
"Pat Dunn",1958,1958,1,1931-03-17,"G",74,170,"Utah State University"
"T.R. Dunn",1978,1991,14,1955-02-01,"G-F",76,192,"University of Alabama"
"Ronald Dupree",2004,2011,8,1981-01-26,"F",79,209,"Louisiana State University"
"Kevin Durant",2008,2018,11,1988-09-29,"F-G",81,240,"University of Texas at Austin"
"John Duren",1981,1983,3,1958-10-30,"G",75,195,"Georgetown University"
"Jarrett Durham",1972,1972,1,1949-08-22,"F",77,188,"Duquesne University"
"Pat Durham",1993,1995,3,1967-03-10,"F",79,210,"Colorado State University"
"Devin Durrant",1985,1986,2,1960-10-20,"F",79,200,"Brigham Young University"
"Ken Durrett",1972,1975,4,1948-12-08,"F",79,190,"La Salle University"
"Dennis DuVal",1975,1976,2,1952-03-31,"G",75,175,"Syracuse University"
"Jack Dwan",1949,1949,1,1921-05-03,"F-G",76,200,"Loyola University of Chicago"
"Craig Dykema",1982,1982,1,1959-06-11,"F",80,190,"California State University, Long Beach"
"Gene Dyker",1954,1954,1,1930-02-17,"F",78,225,"DePaul University"
"Jerome Dyson",2012,2012,1,1987-05-01,"G",75,180,"University of Connecticut"
"Ledell Eackles",1989,1998,10,1966-11-24,"G-F",77,220,"University of New Orleans"
"Jim Eakins",1969,1978,10,1946-05-24,"C",83,215,"Brigham Young University"
"Acie Earl",1994,1997,4,1970-06-23,"F-C",82,240,"University of Iowa"
"Ed Earle",1954,1954,1,1927-04-28,"F",75,190,"Loyola University of Chicago"
"Cleanthony Early",2015,2016,2,1991-04-17,"F",80,210,"Wichita State University"
"Penny Early",1969,1969,1,1943-05-30,"G",63,114,"No College"
"Mark Eaton",1983,1993,11,1957-01-24,"C",88,275,"University of California, Los Angeles"
"Jerry Eaves",1983,1987,5,1959-02-08,"G",76,180,"University of Louisville"
"Devin Ebanks",2011,2013,3,1989-10-28,"F",81,215,"West Virginia University"
"Bill Ebben",1958,1958,1,1935-10-07,"G",76,190,"University of Detroit Mercy"
"Al Eberhard",1975,1978,4,1952-05-10,"F",78,225,"University of Missouri"
"Ndudi Ebi",2004,2005,2,1984-06-18,"F",81,200,"No College"
"Roy Ebron",1974,1974,1,1951-08-31,"C",81,220,"University of Louisiana at Lafayette"
"Jarell Eddie",2016,2017,2,1991-10-30,"G-F",79,218,"Virginia Polytechnic Institute and State University"
"Patrick Eddie",1992,1992,1,1967-12-27,"C",83,240,"University of Mississippi"
"Dike Eddleman",1950,1953,4,1922-12-27,"F-G",75,189,"University of Illinois at Urbana-Champaign"
"Kenton Edelin",1985,1985,1,1962-05-24,"F",80,205,"University of Virginia"
"Charles Edge",1974,1975,2,1950-02-23,"F",78,210,"LeMoyne-Owen College"
"Bobby Edmonds",1968,1970,3,1941-03-08,"F",78,220,"Tennessee State University"
"Keith Edmonson",1983,1984,2,1960-09-28,"G",77,195,"Purdue University"
"Tyus Edney",1996,2001,6,1973-02-14,"G",70,152,"University of California, Los Angeles"
"Bill Edwards",1994,1994,1,1971-09-22,"F",80,215,"Wright State University"
"Blue Edwards",1990,1999,10,1965-10-31,"G-F",76,200,"East Carolina University"
"Corsley Edwards",2005,2005,1,1979-03-05,"F",81,275,"Central Connecticut State University"
"Doug Edwards",1994,1996,3,1971-01-21,"F",79,220,"Florida State University"
"Franklin Edwards",1982,1988,7,1959-02-02,"G",73,170,"Cleveland State University"
"James Edwards",1978,1996,19,1955-11-22,"C-F",84,225,"University of Washington"
"Jay Edwards",1990,1990,1,1969-01-03,"G",76,185,"Indiana University"
"John Edwards",2005,2006,2,1981-07-31,"C",84,275,"Kent State University"
"Kevin Edwards",1989,2001,13,1965-10-30,"G",75,190,"DePaul University"
"Shane Edwards",2014,2014,1,1987-05-31,"F",79,220,"University of Arkansas at Little Rock"
"Johnny Egan",1962,1972,11,1939-01-31,"G",71,180,"Providence College"
"Lonnie Eggleston",1949,1949,1,1918-06-08,"G",72,170,"Oklahoma State University"
"Bulbs Ehlers",1948,1949,2,1923-03-10,"F-G",75,198,"Purdue University"
"Craig Ehlo",1984,1997,14,1961-08-11,"G-F",78,180,"Washington State University"
"Rich Eichhorst",1962,1962,1,1933-10-21,"G",75,200,"Southeast Missouri State University"
"Howard Eisley",1995,2006,12,1972-12-04,"G",74,177,"Boston College"
"Obinna Ekezie",2000,2005,6,1975-08-22,"F-C",81,270,"University of Maryland"
"Khalid El-Amin",2001,2001,1,1979-04-25,"G",70,200,"University of Connecticut"
"Don Eliason",1947,1947,1,1918-07-24,"F",74,210,"Hamline University"
"Mario Elie",1991,2001,11,1963-11-26,"G-F",77,210,"American International College"
"Ray Ellefson",1949,1951,3,1922-11-18,"C",80,230,"West Texas A&M University"
"Henry Ellenson",2017,2018,2,1997-01-13,"F",83,245,"Marquette University"
"Wayne Ellington",2010,2018,9,1987-10-29,"G",76,200,"University of North Carolina"
"Bob Elliott",1979,1981,3,1955-08-18,"C-F",81,225,"University of Arizona"
"Sean Elliott",1990,2001,12,1968-02-02,"F",80,205,"University of Arizona"
"Bo Ellis",1978,1980,3,1954-08-08,"F",81,197,"Marquette University"
"Boo Ellis",1959,1960,2,1936-02-11,"F",77,185,"Niagara University"
"Dale Ellis",1984,2000,17,1960-08-06,"G-F",79,205,"University of Tennessee"
"Harold Ellis",1994,1998,5,1970-10-07,"G",77,200,"Morehouse College"
"Joe Ellis",1967,1974,8,1944-05-03,"F-G",78,175,"University of San Francisco"
"LaPhonso Ellis",1993,2003,11,1970-05-05,"F",80,240,"University of Notre Dame"
"LeRon Ellis",1992,1996,5,1969-04-28,"F-C",81,225,"Syracuse University"
