"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Kyle O'Quinn",2013,2018,6,1990-03-26,"F-C",82,250,"Norfolk State University"
"Kevin O'Shea",1951,1953,3,1925-07-10,"G",74,175,"University of Notre Dame"
"Garland O'Shields",1947,1947,1,1921-05-23,"G-F",73,195,"University of Tennessee"
"Dan O'Sullivan",1991,1996,6,1968-03-03,"C",82,250,"Fordham University"
"Charles Oakley",1986,2004,19,1963-12-18,"F-C",80,225,"Virginia Union University"
"Fabricio Oberto",2006,2011,6,1975-03-21,"C-F",82,245,"No College"
"Daniel Ochefu",2017,2017,1,1993-12-15,"C",83,245,"Villanova University"
"Greg Oden",2009,2014,6,1988-01-22,"C",84,250,"Ohio State University"
"Lamar Odom",2000,2013,14,1979-11-06,"F",82,220,"University of Rhode Island"
"Bud Ogden",1970,1971,2,1946-12-29,"F",78,215,"Santa Clara University"
"Ralph Ogden",1971,1971,1,1948-01-25,"F",77,205,"Santa Clara University"
"Alan Ogg",1991,1993,3,1967-07-05,"C",86,240,"University of Alabama at Birmingham"
"Don Ohl",1961,1970,10,1936-04-18,"G",75,190,"University of Illinois at Urbana-Champaign"
"Tim Ohlbrecht",2013,2013,1,1988-08-30,"C",83,255,"No College"
"Semi Ojeleye",2018,2018,1,1994-12-05,"F",79,241,"Southern Methodist University"
"Emeka Okafor",2005,2013,9,1982-09-28,"C-F",82,252,"University of Connecticut"
"Jahlil Okafor",2016,2018,3,1995-12-15,"C-F",83,275,"Duke University"
"Mehmet Okur",2003,2012,10,1979-05-26,"C-F",83,249,"No College"
"Victor Oladipo",2014,2018,5,1992-05-04,"G",76,210,"Indiana University"
"Hakeem Olajuwon",1985,2002,18,1963-01-21,"C",84,255,"University of Houston"
"Mark Olberding",1976,1987,12,1956-04-21,"F",80,225,"University of Minnesota"
"Jawann Oldham",1981,1991,11,1957-07-04,"C",84,215,"Seattle University"
"John Oldham",1950,1951,2,1923-06-22,"G",75,175,"Western Kentucky University"
"Frank Oleynick",1976,1977,2,1955-02-20,"G",74,185,"Seattle University"
"John Olive",1979,1980,2,1955-03-01,"F",79,210,"Villanova University"
"Brian Oliver",1991,1998,8,1968-06-01,"G",76,210,"Georgia Institute of Technology"
"Dean Oliver",2002,2003,2,1978-11-05,"G",71,180,"University of Iowa"
"Jimmy Oliver",1992,1999,8,1969-07-12,"G-F",77,205,"Purdue University"
"Kevin Ollie",1998,2010,13,1972-12-27,"G",76,195,"University of Connecticut"
"Gene Ollrich",1950,1950,1,1922-06-30,"G",71,160,"Drake University"
"Michael Olowokandi",1999,2007,9,1975-04-03,"C",84,269,"University of the Pacific"
"Bud Olsen",1963,1970,8,1940-07-25,"F-C",80,220,"University of Louisville"
"Kelly Olynyk",2014,2018,5,1991-04-19,"C-F",84,238,"Gonzaga University"
"Arinze Onuaku",2014,2017,4,1987-07-13,"C",81,255,"Syracuse University"
"Chinanu Onuaku",2017,2017,1,1996-11-01,"F-C",82,245,"University of Louisville"
"Barry Orms",1969,1970,2,1946-05-01,"G",75,190,"Saint Louis University"
"Johnny Orr",1950,1950,1,1927-06-10,"F",75,195,"Beloit College"
"Louis Orr",1981,1988,8,1958-05-07,"F",80,175,"Syracuse University"
"Jose Ortiz",1989,1990,2,1963-10-25,"F",82,225,"Oregon State University"
"Daniel Orton",2012,2014,3,1990-08-06,"C-F",82,255,"University of Kentucky"
"Chuck Osborne",1962,1962,1,1939-01-21,"F",78,210,"Western Kentucky University"
"Cedi Osman",2018,2018,1,1995-04-08,"F",80,210,"No College"
"Wally Osterkorn",1952,1955,4,1928-07-06,"F-C",77,215,"University of Illinois at Urbana-Champaign"
"Greg Ostertag",1996,2006,11,1973-03-06,"C",86,280,"University of Kansas"
"Matt Othick",1993,1993,1,1969-03-16,"G",74,165,"University of Arizona"
"Don Otten",1950,1953,4,1921-04-18,"C",82,240,"Bowling Green State University"
"Mac Otten",1950,1950,1,1925-12-16,"F-C",79,220,"Bowling Green State University"
"Kelly Oubre",2016,2018,3,1995-12-09,"F",79,205,"University of Kansas"
"Bo Outlaw",1994,2008,15,1971-04-13,"F",80,210,"University of Houston"
"Travis Outlaw",2004,2014,11,1984-09-18,"F",81,210,"No College"
"Claude Overton",1953,1953,1,1927-12-16,"G",74,195,"East Central University"
"Doug Overton",1993,2004,12,1969-08-03,"G",75,190,"La Salle University"
"Andre Owens",2006,2008,3,1980-10-31,"G",76,200,"University of Houston"
"Billy Owens",1992,2001,10,1969-05-01,"F-G",80,220,"Syracuse University"
"Chris Owens",2003,2003,1,1979-03-01,"F",79,245,"University of Texas at Austin"
"Eddie Owens",1978,1978,1,1953-12-26,"F",79,210,"University of Nevada, Las Vegas"
"Jim Owens",1974,1975,2,1950-05-01,"F",77,200,"Arizona State University"
"Keith Owens",1992,1992,1,1969-05-31,"F",79,225,"University of California, Los Angeles"
"Larry Owens",2011,2012,2,1983-01-08,"F",79,210,"Oral Roberts University"
"Red Owens",1950,1952,3,1925-09-02,"G-F",75,185,"Baylor University"
"Tom Owens",1972,1983,12,1949-06-28,"C-F",82,215,"University of South Carolina"
"Ray Owes",1997,1997,1,1972-12-11,"F",81,224,"University of Arizona"
"Olumide Oyedeji",2001,2003,3,1981-05-11,"C",82,240,"No College"
"Joe Pace",1977,1978,2,1953-12-18,"C",82,220,"Coppin State University"
"Zaza Pachulia",2004,2018,15,1984-02-10,"C",83,270,"No College"
"Robert Pack",1992,2004,13,1969-02-03,"G",74,180,"University of Southern California"
"Wayne Pack",1975,1975,1,1950-07-05,"G",72,165,"Tennessee Technological University"
"Gerald Paddio",1991,1994,4,1965-04-21,"F-G",79,205,"University of Nevada, Las Vegas"
"Scott Padgett",2000,2007,8,1976-04-19,"F",81,240,"University of Kentucky"
"Dana Pagett",1972,1972,1,1949-03-29,"G",74,180,"University of Southern California"
"Marcus Paige",2018,2018,1,1993-09-11,"G",73,175,"University of North Carolina"
"Fred Paine",1949,1949,1,1925-12-07,"F",77,210,"Westminster College of Pennsylvania"
"Milt Palacio",2000,2006,7,1978-02-07,"G",75,195,"Colorado State University"
"Togo Palazzi",1955,1960,6,1932-08-08,"F-G",76,205,"College of the Holy Cross"
"Bud Palmer",1947,1949,3,1921-09-14,"F-C",76,180,"Princeton University"
"Errol Palmer",1968,1968,1,,"F",77,195,"DePaul University"
"Jim Palmer",1959,1961,3,1933-06-08,"F-C",80,224,"University of Dayton"
"Walter Palmer",1991,1993,3,1968-10-23,"C-F",85,215,"Dartmouth College"
"Andy Panko",2001,2001,1,1977-11-27,"F",81,222,"Lebanon Valley College"
"Georgios Papagiannis",2017,2018,2,1997-07-03,"C",85,240,"No College"
"Kostas Papanikolaou",2015,2016,2,1990-07-31,"F",80,225,"No College"
"Jannero Pargo",2003,2015,13,1979-10-22,"G",73,175,"University of Arkansas"
"Jeremy Pargo",2012,2013,2,1986-03-17,"G",74,219,"Gonzaga University"
